,Years,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,            By State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,                Alabama (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1122273.0,1120409.0,1116590.0,1113083.0,1113662.0,1117229.0,1126798.0,1132296.0,1134927.0,1134192.0,1130415.0,1123812.0,1116691.0,1109897.0,1105754.0,1102583.0,1099306.0,1095210.0,1089820.0,,,
22,                Alaska (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190615.0,188771.0,188482.0,186843.0,186335.0,185304.0,185580.0,184344.0,183124.0,186351.0,187995.0,188554.0,188357.0,188278.0,186753.0,186071.0,186810.0,185608.0,183816.0,,,
23,                Arizona (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373414.0,1399015.0,1427938.0,1453671.0,1484454.0,1529168.0,1574867.0,1607895.0,1628651.0,1627343.0,1626340.0,1615978.0,1616830.0,1618232.0,1623955.0,1628980.0,1636043.0,1639054.0,1642647.0,,,
24,                Arkansas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680378.0,679606.0,678798.0,679579.0,683166.0,689787.0,697842.0,702737.0,705725.0,707886.0,711622.0,711634.0,711181.0,709024.0,707169.0,706559.0,706077.0,705584.0,703180.0,,,
25,                California (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9267089.0,9325466.0,9365142.0,9404594.0,9418497.0,9405565.0,9370884.0,9335620.0,9321621.0,9294501.0,9280448.0,9244602.0,9193267.0,9156957.0,9133599.0,9116020.0,9086531.0,9044674.0,8989764.0,,,
26,                Colorado (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1106676.0,1126647.0,1138273.0,1144597.0,1146369.0,1156399.0,1171832.0,1189434.0,1203289.0,1217213.0,1227223.0,1232531.0,1236093.0,1240564.0,1247620.0,1257613.0,1263027.0,1263877.0,1265232.0,,,
27,                Connecticut (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842242.0,845850.0,848877.0,851115.0,848979.0,844034.0,839372.0,833484.0,826626.0,820839.0,814369.0,804605.0,794452.0,782419.0,772625.0,761732.0,751883.0,743234.0,735193.0,,,
28,                Delaware (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194914.0,196038.0,196946.0,198045.0,199631.0,201988.0,203729.0,205155.0,206116.0,206213.0,205525.0,204806.0,204174.0,203341.0,203450.0,203765.0,203633.0,203576.0,203616.0,,,
29,                District of Columbia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114503.0,114625.0,113822.0,111403.0,109756.0,107187.0,105651.0,104126.0,102257.0,102098.0,101267.0,103904.0,107620.0,111940.0,115727.0,119103.0,121675.0,125072.0,127494.0,,,
30,                Florida (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3654880.0,3714439.0,3774624.0,3820876.0,3890734.0,3968178.0,4022912.0,4031098.0,4018372.0,3997283.0,3997518.0,3999176.0,4007836.0,4022099.0,4053122.0,4101889.0,4159329.0,4201113.0,4229071.0,,,
31,                Georgia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2176576.0,2215390.0,2249784.0,2278710.0,2308855.0,2353604.0,2406014.0,2456249.0,2479097.0,2485781.0,2489381.0,2485905.0,2483675.0,2482541.0,2487602.0,2496962.0,2507728.0,2509957.0,2505531.0,,,
32,                Hawaii (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295352.0,294133.0,293600.0,294519.0,298103.0,298497.0,299313.0,300207.0,301094.0,302796.0,303874.0,305902.0,307396.0,308745.0,307902.0,308183.0,307485.0,305575.0,303413.0,,,
33,                Idaho (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370430.0,373145.0,375986.0,379241.0,384692.0,394651.0,404753.0,415024.0,422347.0,426076.0,429232.0,428805.0,427844.0,428768.0,431073.0,433692.0,438261.0,443445.0,446972.0,,,
34,                Illinois (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3244944.0,3243617.0,3238362.0,3225547.0,3211599.0,3197318.0,3181246.0,3170134.0,3153401.0,3138406.0,3123195.0,3092397.0,3059460.0,3024907.0,2992550.0,2962043.0,2929825.0,2895256.0,2857131.0,,,
35,                Indiana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574989.0,1579527.0,1580814.0,1582560.0,1586281.0,1593898.0,1603107.0,1609494.0,1611494.0,1609704.0,1606170.0,1598460.0,1589836.0,1586139.0,1582125.0,1578278.0,1575825.0,1572675.0,1568130.0,,,
36,                Iowa (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733337.0,728601.0,723685.0,720102.0,718708.0,718488.0,721703.0,723632.0,725658.0,726969.0,728234.0,726302.0,724830.0,726454.0,728822.0,730013.0,731080.0,732009.0,730767.0,,,
37,                Kansas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713887.0,710923.0,709416.0,707847.0,705456.0,704689.0,705277.0,711005.0,714689.0,721841.0,727489.0,726569.0,726397.0,724263.0,722375.0,720719.0,716983.0,712035.0,705961.0,,,
38,                Kentucky (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994984.0,994105.0,995251.0,998485.0,998459.0,1004020.0,1011295.0,1016288.0,1022001.0,1021710.0,1023476.0,1021826.0,1018553.0,1017239.0,1014821.0,1012887.0,1012184.0,1011177.0,1008829.0,,,
39,                Louisiana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1217670.0,1204187.0,1194819.0,1188070.0,1182731.0,1177954.0,1078779.0,1096642.0,1108728.0,1114228.0,1117830.0,1116168.0,1113929.0,1112426.0,1113733.0,1114942.0,1113728.0,1106368.0,1095916.0,,,
40,                Maine (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301407.0,300088.0,298595.0,296786.0,294791.0,292039.0,288945.0,286185.0,282204.0,277946.0,273398.0,269118.0,265107.0,262027.0,259695.0,256439.0,254618.0,252696.0,250404.0,,,
41,                Maryland (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1356961.0,1366552.0,1375354.0,1379641.0,1383450.0,1382966.0,1377756.0,1369563.0,1359214.0,1353631.0,1352616.0,1349605.0,1347162.0,1344047.0,1346600.0,1346051.0,1345270.0,1343582.0,1340148.0,,,
42,                Massachusetts (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501334.0,1505028.0,1502652.0,1493372.0,1479541.0,1464140.0,1450202.0,1439757.0,1429727.0,1422935.0,1417522.0,1410090.0,1403504.0,1398215.0,1392957.0,1386023.0,1378491.0,1373069.0,1366857.0,,,
