,Years,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
103,                New Hampshire (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815645.0,829596.0,842482.0,853339.0,862732.0,871900.0,880847.0,885319.0,887449.0,887724.0,886708.0,888930.0,888066.0,885228.0,886805.0,885137.0,885606.0,885629.0,883758.0,882553.0,880841.0,
104,                New Jersey (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5446201.0,5497404.0,5548686.0,5589579.0,5624888.0,5656242.0,5685811.0,5708838.0,5730101.0,5764197.0,5787520.0,5807502.0,5793963.0,5787317.0,5776578.0,5763186.0,5747213.0,5738198.0,5714210.0,5688339.0,5655704.0,
105,                New Mexico (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159250.0,1170906.0,1191536.0,1211340.0,1232610.0,1252980.0,1274209.0,1292494.0,1302101.0,1315491.0,1320129.0,1327236.0,1323608.0,1320357.0,1311951.0,1306438.0,1302176.0,1295965.0,1290184.0,1288508.0,1287817.0,
106,                New York (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12371672.0,12463305.0,12537246.0,12602765.0,12642372.0,12666779.0,12713912.0,12767539.0,12833143.0,12914972.0,12959427.0,13030799.0,13019241.0,13014796.0,12982743.0,12931243.0,12866614.0,12780063.0,12682616.0,12561148.0,12406903.0,
107,                North Carolina (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5347943.0,5431782.0,5509290.0,5565251.0,5659612.0,5760885.0,5902796.0,6028147.0,6145394.0,6228224.0,6198477.0,6253780.0,6272458.0,6305596.0,6341174.0,6390953.0,6453618.0,6514861.0,6566899.0,6611596.0,6649282.0,
108,                North Dakota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407753.0,409122.0,411239.0,414013.0,419957.0,422587.0,426310.0,429031.0,432197.0,437117.0,436412.0,444152.0,453218.0,466315.0,475625.0,484338.0,480726.0,477029.0,474974.0,473492.0,471335.0,
109,                Ohio (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7292394.0,7326753.0,7362450.0,7395715.0,7423600.0,7450324.0,7476682.0,7493241.0,7496870.0,7506378.0,7505953.0,7516729.0,7480467.0,7472786.0,7461623.0,7446935.0,7431200.0,7417173.0,7390692.0,7360902.0,7316526.0,
110,                Oklahoma (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2213641.0,2230525.0,2251731.0,2264412.0,2282290.0,2298683.0,2329004.0,2354090.0,2372900.0,2399314.0,2397111.0,2413921.0,2422816.0,2436164.0,2446109.0,2460249.0,2463926.0,2458055.0,2454198.0,2456172.0,2460809.0,
111,                Oregon (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2241755.0,2275980.0,2314388.0,2342414.0,2360450.0,2394433.0,2436704.0,2472486.0,2498997.0,2521479.0,2531461.0,2553235.0,2556219.0,2558996.0,2572105.0,2596020.0,2638330.0,2663605.0,2673938.0,2682071.0,2687631.0,
112,                Pennsylvania (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7782164.0,7821272.0,7877738.0,7940565.0,7997963.0,8059144.0,8132431.0,8187091.0,8222204.0,8269581.0,8300521.0,8338126.0,8312505.0,8290110.0,8267886.0,8235448.0,8199750.0,8163293.0,8126120.0,8070120.0,8017152.0,
113,                Rhode Island (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676782.0,685062.0,694526.0,701461.0,707552.0,706909.0,707824.0,706335.0,705045.0,705529.0,702794.0,702838.0,701388.0,700093.0,699517.0,698153.0,696532.0,693363.0,691449.0,687238.0,682741.0,
114,                South Carolina (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2639507.0,2669574.0,2702593.0,2733858.0,2779863.0,2821564.0,2880673.0,2936853.0,2986450.0,3020357.0,3002544.0,3015526.0,3022198.0,3038881.0,3059657.0,3090026.0,3120080.0,3145511.0,3166183.0,3188862.0,3208493.0,
115,                South Dakota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470175.0,474248.0,478270.0,482768.0,488931.0,493650.0,498968.0,504373.0,508728.0,513486.0,515068.0,520197.0,525360.0,528837.0,529795.0,529804.0,532288.0,535640.0,535380.0,536621.0,536956.0,
116,                Tennessee (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3754176.0,3787586.0,3822318.0,3855258.0,3901288.0,3955594.0,4017140.0,4076748.0,4112269.0,4148145.0,4155927.0,4181364.0,4190242.0,4199866.0,4212182.0,4230893.0,4255936.0,4286724.0,4312075.0,4326221.0,4344724.0,
117,                Texas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13611861.0,13896150.0,14171641.0,14407257.0,14662570.0,14924785.0,15305836.0,15616619.0,15913297.0,16218456.0,16371264.0,16650175.0,16874734.0,17104707.0,17387809.0,17692923.0,17958825.0,18178106.0,18359397.0,18564704.0,18775070.0,
118,                Utah (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416070.0,1446162.0,1476010.0,1499082.0,1524476.0,1558645.0,1598627.0,1640654.0,1676180.0,1708368.0,1730102.0,1755654.0,1777053.0,1803740.0,1826899.0,1855583.0,1896326.0,1937332.0,1972790.0,2007271.0,2040312.0,
119,                Vermont (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402345.0,406311.0,410637.0,414050.0,417002.0,419600.0,421894.0,422507.0,422097.0,422130.0,420778.0,422196.0,418557.0,416320.0,413244.0,411215.0,407547.0,405047.0,401715.0,398525.0,395111.0,
120,                Virginia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4758895.0,4831084.0,4897191.0,4955172.0,5034791.0,5108277.0,5183514.0,5236966.0,5283520.0,5340470.0,5284761.0,5334569.0,5361823.0,5378628.0,5395311.0,5407887.0,5408988.0,5426221.0,5420980.0,5423224.0,5419784.0,
121,                Washington (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3903081.0,3973548.0,4035109.0,4079496.0,4137072.0,4200868.0,4286065.0,4347979.0,4412514.0,4473669.0,4469493.0,4510971.0,4536586.0,4553302.0,4595010.0,4649209.0,4720025.0,4791148.0,4836182.0,4874494.0,4909551.0,
122,                West Virginia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1178217.0,1176999.0,1181991.0,1187794.0,1191061.0,1194924.0,1200632.0,1204008.0,1206034.0,1210701.0,1212427.0,1213506.0,1204296.0,1194726.0,1182918.0,1170401.0,1155570.0,1138497.0,1121987.0,1108358.0,1095997.0,
123,                Wisconsin (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3462164.0,3498776.0,3538493.0,3573185.0,3605693.0,3636717.0,3665194.0,3689057.0,3704223.0,3720500.0,3727548.0,3739685.0,3732188.0,3731445.0,3727123.0,3719293.0,3711802.0,3705057.0,3696972.0,3686290.0,3671533.0,
124,                Wyoming (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324602.0,326725.0,331874.0,335121.0,339399.0,343031.0,349216.0,356911.0,363146.0,371453.0,370173.0,371042.0,375464.0,377047.0,374243.0,373120.0,369470.0,363188.0,359683.0,358142.0,357276.0,
125,        Elderly (65+) (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25707448.0,26220666.0,26787304.0,27360434.0,27877238.0,28415906.0,29007328.0,29625949.0,30123404.0,30681589.0,31247279.0,31811624.0,32355994.0,32901811.0,33330803.0,33769304.0,34143049.0,34401561.0,34619159.0,34797841.0,35069568.0,35290291.0,35522207.0,35863529.0,36203319.0,36649798.0,37164107.0,37825711.0,38777621.0,39623175.0,40478249.0,41350891.0,43132210.0,44632337.0,46161005.0,47655870.0,49208479.0,50757639.0,52354605.0,54036735.0,55659365.0,
126,            By State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,                Alabama (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580880.0,583831.0,585605.0,590372.0,593826.0,602102.0,613080.0,622070.0,636944.0,649041.0,660842.0,672048.0,698085.0,719719.0,741992.0,762301.0,784005.0,805266.0,826980.0,851520.0,874244.0,
128,                Alaska (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36106.0,37415.0,38868.0,40409.0,42148.0,43945.0,45600.0,47606.0,50322.0,52879.0,55574.0,58221.0,62444.0,66226.0,70004.0,74055.0,78299.0,82743.0,87083.0,91553.0,95876.0,
129,                Arizona (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671332.0,683233.0,696122.0,711684.0,730624.0,756532.0,780264.0,802967.0,832164.0,860446.0,889102.0,919756.0,969948.0,1013910.0,1060487.0,1108684.0,1157465.0,1207269.0,1259053.0,1315788.0,1373975.0,
130,                Arkansas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374504.0,374559.0,375271.0,377731.0,380130.0,384675.0,392551.0,398817.0,407566.0,414583.0,421546.0,427589.0,442374.0,453606.0,465694.0,476530.0,487556.0,498715.0,510600.0,523980.0,536306.0,
131,                California (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3608449.0,3651646.0,3692105.0,3745381.0,3783384.0,3839253.0,3872578.0,3947236.0,4056760.0,4164493.0,4273303.0,4391321.0,4589642.0,4766883.0,4948781.0,5135751.0,5308774.0,5476470.0,5645856.0,5819400.0,5976166.0,
132,                Colorado (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418286.0,425441.0,431797.0,440215.0,450063.0,461584.0,479066.0,494959.0,514135.0,534380.0,554418.0,575253.0,611325.0,643841.0,675937.0,707949.0,739767.0,772984.0,808286.0,843525.0,876387.0,
133,                Connecticut (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470752.0,470976.0,471685.0,474250.0,474627.0,475419.0,476275.0,481540.0,492594.0,500465.0,508716.0,517216.0,535892.0,550156.0,563086.0,574960.0,587078.0,599999.0,615009.0,630705.0,645996.0,
134,                Delaware (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102169.0,103436.0,105062.0,107054.0,109407.0,112079.0,115828.0,119205.0,123716.0,126751.0,130100.0,133764.0,140799.0,147514.0,154014.0,160375.0,167107.0,174204.0,181647.0,189455.0,197594.0,
135,                District of Columbia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69764.0,68845.0,68014.0,67372.0,66854.0,66602.0,65966.0,66232.0,66785.0,67800.0,69105.0,70171.0,72687.0,74987.0,77378.0,80028.0,82075.0,83757.0,85971.0,88132.0,89833.0,
136,                Florida (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812155.0,2833799.0,2858125.0,2889234.0,2932310.0,2981087.0,3004334.0,3053176.0,3135004.0,3205715.0,3278288.0,3359788.0,3507418.0,3636396.0,3771382.0,3913735.0,4065350.0,4208703.0,4344845.0,4494096.0,4638094.0,
137,                Georgia (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788440.0,800019.0,812374.0,827656.0,842683.0,868555.0,905773.0,934987.0,972338.0,1006657.0,1041018.0,1075788.0,1138905.0,1194164.0,1248439.0,1301675.0,1354419.0,1406544.0,1461091.0,1519195.0,1574667.0,
138,                Hawaii (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161115.0,163386.0,165453.0,167971.0,170467.0,174236.0,176807.0,179574.0,184461.0,190379.0,196623.0,203100.0,212163.0,221105.0,229772.0,238339.0,246437.0,254193.0,262144.0,269014.0,275080.0,
139,                Idaho (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146458.0,148848.0,151825.0,155090.0,159061.0,164132.0,170746.0,176361.0,183178.0,189723.0,196132.0,201755.0,212004.0,221726.0,231538.0,241285.0,252471.0,264391.0,277088.0,290969.0,305994.0,
140,                Illinois (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500654.0,1501002.0,1498943.0,1505543.0,1511319.0,1517317.0,1523353.0,1542384.0,1569517.0,1592006.0,1615993.0,1641862.0,1702173.0,1751277.0,1799080.0,1843921.0,1892524.0,1940081.0,1989309.0,2042262.0,2089234.0,
141,                Indiana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753812.0,756095.0,757957.0,764337.0,769237.0,776261.0,787437.0,799908.0,817632.0,830748.0,844274.0,856974.0,888883.0,914745.0,941979.0,966814.0,994614.0,1022513.0,1051723.0,1083913.0,1115285.0,
142,                Iowa (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436380.0,435764.0,434430.0,434724.0,435422.0,436059.0,438535.0,442183.0,446790.0,450126.0,453658.0,456720.0,469495.0,479032.0,489744.0,500447.0,512577.0,525035.0,537978.0,552212.0,566136.0,
143,                Kansas (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356528.0,355603.0,354384.0,354638.0,355746.0,356985.0,359408.0,362512.0,367325.0,372103.0,377067.0,381275.0,394004.0,404254.0,414687.0,424972.0,436442.0,448130.0,460548.0,474916.0,488316.0,
144,                Kentucky (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505595.0,507157.0,508618.0,513734.0,518769.0,527867.0,538285.0,548046.0,560662.0,570538.0,580394.0,590308.0,614533.0,634034.0,654692.0,672720.0,691589.0,710274.0,729357.0,750341.0,770835.0,
145,                Louisiana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517719.0,518900.0,521544.0,525739.0,529249.0,534941.0,515760.0,524996.0,537863.0,549142.0,560778.0,571831.0,596156.0,614920.0,634526.0,655234.0,677471.0,697798.0,718844.0,742100.0,763750.0,
146,                Maine (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183713.0,185166.0,186668.0,188240.0,189805.0,191380.0,194447.0,198004.0,203338.0,207670.0,211965.0,216001.0,226049.0,234775.0,243281.0,250219.0,258426.0,266818.0,276367.0,285201.0,293776.0,
147,                Maryland (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601443.0,608552.0,614959.0,622996.0,630505.0,638506.0,646320.0,658553.0,678258.0,694983.0,711947.0,729721.0,764533.0,793163.0,821871.0,848486.0,876152.0,902790.0,931509.0,960251.0,987352.0,
148,                Massachusetts (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860898.0,857347.0,855012.0,853629.0,850906.0,850015.0,851232.0,860183.0,877174.0,891686.0,906579.0,921995.0,959460.0,990253.0,1020694.0,1048396.0,1077025.0,1105663.0,1136418.0,1167764.0,1198402.0,
149,                Michigan (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1221299.0,1226259.0,1230163.0,1238574.0,1247043.0,1255266.0,1269443.0,1291238.0,1321021.0,1343623.0,1366274.0,1388638.0,1443150.0,1487694.0,1531387.0,1571926.0,1617681.0,1664648.0,1712438.0,1763191.0,1812441.0,
150,                Minnesota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595382.0,598871.0,602842.0,608570.0,614219.0,619771.0,630406.0,642312.0,658825.0,672489.0,686332.0,699115.0,728111.0,752842.0,777660.0,802184.0,829903.0,858654.0,888740.0,919312.0,948841.0,
151,                Mississippi (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344018.0,344562.0,345400.0,347927.0,351320.0,356199.0,358197.0,362956.0,370316.0,375968.0,382130.0,388608.0,403244.0,414564.0,426302.0,437745.0,449375.0,461250.0,472835.0,486498.0,499955.0,
152,                Missouri (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756231.0,758184.0,759462.0,763370.0,767548.0,773936.0,784612.0,796345.0,812335.0,826976.0,841282.0,852849.0,883400.0,908161.0,932800.0,955698.0,981069.0,1006404.0,1032298.0,1061684.0,1089714.0,
153,                Montana (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121288.0,122525.0,123796.0,125295.0,127276.0,129431.0,132782.0,136015.0,140331.0,143927.0,147444.0,150516.0,157414.0,163381.0,169645.0,176112.0,183237.0,190518.0,198180.0,205860.0,213392.0,
154,                Nebraska (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232430.0,232281.0,232199.0,231998.0,232130.0,233426.0,235236.0,237722.0,240748.0,244132.0,247306.0,249331.0,257389.0,263412.0,270860.0,278142.0,286329.0,294155.0,302009.0,311255.0,319437.0,
155,                Nevada (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221598.0,231793.0,241638.0,252763.0,263722.0,271743.0,280415.0,290756.0,303018.0,315223.0,327117.0,339461.0,361038.0,380499.0,400192.0,420019.0,438593.0,457065.0,476745.0,497682.0,519316.0,
156,                New Hampshire (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148381.0,149276.0,150627.0,152341.0,155869.0,157699.0,161873.0,166079.0,171358.0,175269.0,179395.0,184372.0,194580.0,203541.0,212384.0,219396.0,227297.0,235778.0,244420.0,253514.0,263129.0,
157,                New Jersey (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114370.0,1114854.0,1115874.0,1118550.0,1119300.0,1120653.0,1124576.0,1135519.0,1157905.0,1173621.0,1190520.0,1210183.0,1254201.0,1286496.0,1317497.0,1347449.0,1379116.0,1409182.0,1442181.0,1476183.0,1510028.0,
158,                New Mexico (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213323.0,217399.0,221303.0,225924.0,230396.0,237019.0,244332.0,250773.0,258374.0,266217.0,274097.0,281678.0,294438.0,305929.0,317263.0,328829.0,340352.0,352662.0,365226.0,377791.0,389911.0,
159,                New York (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453462.0,2462827.0,2472398.0,2480995.0,2488224.0,2494128.0,2492228.0,2517548.0,2559269.0,2592210.0,2628848.0,2671884.0,2767575.0,2844860.0,2923594.0,2998172.0,3073002.0,3148181.0,3224727.0,3301115.0,3369569.0,
160,                North Carolina (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972487.0,986276.0,1001183.0,1019015.0,1036542.0,1058620.0,1096825.0,1129289.0,1170697.0,1206650.0,1243221.0,1278449.0,1345273.0,1402743.0,1459294.0,1513249.0,1569811.0,1628263.0,1689490.0,1752264.0,1814542.0,
161,                North Dakota (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94585.0,94245.0,93991.0,93768.0,94309.0,93956.0,94382.0,94728.0,95785.0,96572.0,97646.0,98473.0,100782.0,102614.0,104681.0,107067.0,109791.0,113234.0,116641.0,120028.0,123141.0,
162,                Ohio (People),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509407.0,1509931.0,1511762.0,1519056.0,1522292.0,1527229.0,1541165.0,1561113.0,1589129.0,1607723.0,1625958.0,1644587.0,1703911.0,1751526.0,1800284.0,1843499.0,1891306.0,1940355.0,1989466.0,2044002.0,2097638.0,
