Rank,Root Domain,Linking Root Domains,Domain Authority
356,twitch.tv,"311,298",93
357,afternic.com,"2,039,301",93
358,zendesk.com,"465,569",93
359,corriere.it,"140,800",93
360,my.yahoo.com,"1,147,088",93
361,ja.wikipedia.org,"321,303",93
362,e-recht24.de,"429,033",93
363,theglobeandmail.com,"216,032",93
364,metro.co.uk,"172,660",93
365,berkeley.edu,"388,619",93
366,google.ca,"305,681",93
367,urbandictionary.com,"204,811",93
368,businessinsider.com.au,"248,351",92
369,rtve.es,"144,831",92
370,www.livejournal.com,"3,068,222",92
371,so-net.ne.jp,"170,096",92
372,investopedia.com,"204,024",92
373,viglink.com,"358,019",92
374,sina.com.cn,"1,052,208",92
375,prezi.com,"215,716",92
376,storage.canalblog.com,"279,448",92
377,eff.org,"135,926",92
378,home.neustar,"511,343",92
379,calendar.google.com,"135,570",92
380,popsugar.com,"124,279",92
381,utexas.edu,"227,799",92
382,tes.com,"399,494",92
383,histats.com,"453,444",92
384,plos.org,"218,836",92
385,arstechnica.com,"207,701",92
386,channel4.com,"141,411",92
387,imgur.com,"1,121,999",92
388,pastebin.com,"166,597",92
389,ed.gov,"229,870",92
390,springer.com,"343,402",92
391,newscientist.com,"189,745",92
392,wn.com,"206,047",92
393,entrepreneur.com,"214,955",92
394,cia.gov,"133,083",92
395,axs.com,"221,188",92
396,allaboutcookies.org,"329,627",92
397,inc.com,"203,104",92
398,airbnb.com,"164,684",92
399,standard.co.uk,"143,454",92
400,alexa.com,"289,908",92
401,mixcloud.com,"176,401",92
402,oecd.org,"157,960",92
403,cocolog-nifty.com,"180,645",92
404,dreniq.com,"321,085",92
405,jstor.org,"155,198",92
406,cisco.com,"201,137",92
407,doi.org,"327,204",92
408,qq.com,"4,207,126",92
409,rollingstone.com,"239,762",92
410,gooyaabitemplates.com,"371,521",92
411,epa.gov,"279,101",92
412,ox.ac.uk,"216,736",92
413,irs.gov,"242,485",92
414,qz.com,"182,443",92
415,pewresearch.org,"199,572",92
416,ieee.org,"183,798",92
417,www.canalblog.com,"396,091",92
418,mystrikingly.com,"279,631",92
419,blog.fc2.com,"393,823",92
420,com.com,"219,156",92
421,windows.net,"159,556",92
422,howstuffworks.com,"253,849",92
423,bp3.blogger.com,"522,783",92
424,nvidia.com,"143,779",92
425,naver.jp,"127,511",92
426,geocities.com,"539,774",92
427,ameblo.jp,"724,506",92
428,marriott.com,"318,031",92
429,coursera.org,"135,524",92
430,answers.yahoo.com,"187,045",92
431,scientificamerican.com,"245,906",92
432,psu.edu,"263,980",92
433,megaupload.com,"243,883",92
434,thenextweb.com,"163,809",92
435,vox.com,"377,870",92
436,vkontakte.ru,"367,365",92
437,freepik.com,"152,809",92
438,answers.com,"215,415",92
439,nhk.or.jp,"200,731",92
440,parallels.com,"567,101",92
441,nifty.com,"208,507",92
442,zoom.us,"339,473",92
443,ubuntu.com,"181,495",92
444,espn.go.com,"223,895",92
445,pexels.com,"153,112",92
446,stores.jp,"409,956",92
447,usgs.gov,"192,356",92
448,tabelog.com,"137,970",92
449,feedproxy.google.com,"761,382",92
450,amazon.ca,"179,169",92
451,ca.gov,"374,044",92
452,people.com,"193,584",92
453,over-blog-kiwi.com,"178,092",92
454,orange.fr,"171,821",92
455,about.me,"286,907",92
456,wisc.edu,"251,810",92
457,daum.net,"154,103",92
458,steamcommunity.com,"177,313",92
459,fifa.com,"138,044",92
460,weather.com,"206,941",92
461,lonelyplanet.com,"151,513",92
462,asahi.com,"159,638",92
463,adweek.com,"161,625",92
464,livescience.com,"211,622",92
465,narod.ru,"268,810",92
466,snapchat.com,"159,044",92
467,unsplash.com,"334,147",92
468,offset.com,"933,492",92
469,jhu.edu,"180,443",92
470,zdnet.com,"239,350",92
471,home.pl,"198,067",92
472,xinhuanet.com,"586,017",92
473,redhat.com,"185,469",92
474,businesswire.com,"226,741",92
475,nps.gov,"289,803",92
476,ucoz.ru,"182,448",92
477,hbr.org,"212,514",92
478,kinja.com,"185,792",92
479,billboard.com,"159,794",92
480,allrecipes.com,"154,702",92
481,xing.com,"406,045",92
482,worldbank.org,"200,183",92
483,thoughtco.com,"291,402",92
484,prnewswire.com,"300,848",92
485,cam.ac.uk,"194,453",92
486,softonic.com,"128,651",92
487,symantec.com,"148,472",92
488,arxiv.org,"179,310",92
489,timeout.com,"128,905",92
490,tmz.com,"174,219",92
491,fastcompany.com,"251,178",92
492,amazon.in,"139,691",92
493,thedailybeast.com,"201,688",92
494,ucla.edu,"225,167",92
495,feedburner.google.com,"326,515",92
496,fb.me,"241,295",92
497,sakura.ne.jp,"369,299",92
498,reverbnation.com,"187,233",92
499,newyorker.com,"318,070",92
500,viagens.com.br,"128,387",92
